Year,Title,PDF Link,Authors,Download Time,Annotation
2020,A Closer Look at the Training Strategy for Modern Meta-Learning,https://papers.nips.cc/paper_files/paper/2020/file/0415740eaa4d9decbc8da001d3fd805f-Paper.pdf,Unknown,2025-02-15 07:17:05,Reinforcement Learning
2020,On the Value of Out-of-Distribution Testing: An Example of Goodhart's Law,https://papers.nips.cc/paper_files/paper/2020/file/045117b0e0a11a242b9765e79cbf113f-Paper.pdf,Unknown,2025-02-15 07:17:09,NLP
2020,Generalised Bayesian Filtering via Sequential Monte Carlo,https://papers.nips.cc/paper_files/paper/2020/file/04ecb1fa28506ccb6f72b12c0245ddbc-Paper.pdf,Unknown,2025-02-15 07:17:12,Optimization
2020,Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time,https://papers.nips.cc/paper_files/paper/2020/file/05128e44e27c36bdba71221bfccf735d-Paper.pdf,Unknown,2025-02-15 07:17:15,Optimization
2020,Flows for simultaneous manifold learning and density estimation,https://papers.nips.cc/paper_files/paper/2020/file/051928341be67dcba03f0e04104d9047-Paper.pdf,Unknown,2025-02-15 07:17:26,'Deep Learning'
2020,Simultaneous Preference and Metric Learning from Paired Comparisons,https://papers.nips.cc/paper_files/paper/2020/file/0561bc7ecba98e39ca7994f93311ba23-Paper.pdf,Unknown,2025-02-15 07:17:28,NLP
2020,Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee,https://papers.nips.cc/paper_files/paper/2020/file/05a624166c8eb8273b8464e8d9cb5bd9-Paper.pdf,Unknown,2025-02-15 07:17:33,Deep Learning
2020,Learning Manifold Implicitly via Explicit Heat-Kernel Learning,https://papers.nips.cc/paper_files/paper/2020/file/05e2a0647e260c355dd2b2175edb45b8-Paper.pdf,Unknown,2025-02-15 07:17:35,Unknown
2020,Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network,https://papers.nips.cc/paper_files/paper/2020/file/05ee45de8d877c3949760a94fa691533-Paper.pdf,Unknown,2025-02-15 07:17:41,'NLP'
2020,One-bit Supervision for Image Classification,https://papers.nips.cc/paper_files/paper/2020/file/05f971b5ec196b8c65b75d2ef8267331-Paper.pdf,Unknown,2025-02-15 07:17:43,Computer Vision
2020,What is being transferred in transfer learning?,https://papers.nips.cc/paper_files/paper/2020/file/0607f4c705595b911a4f3e7a127b44e0-Paper.pdf,Unknown,2025-02-15 07:18:01,Deep Learning
2020,A graph similarity for deep learning,https://papers.nips.cc/paper_files/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-Paper.pdf,Unknown,2025-02-15 09:04:19,Deep Learning
2020,An Unsupervised Information-Theoretic Perceptual Quality Metric,https://papers.nips.cc/paper_files/paper/2020/file/00482b9bed15a272730fcb590ffebddd-Paper.pdf,Unknown,2025-02-15 09:04:25,Computer Vision
2020,Self-Supervised MultiModal Versatile Networks,https://papers.nips.cc/paper_files/paper/2020/file/0060ef47b12160b9198302ebdb144dcf-Paper.pdf,Unknown,2025-02-15 09:04:27,'Deep Learning'
2020,"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method",https://papers.nips.cc/paper_files/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf,Unknown,2025-02-15 09:04:30,Deep Learning
2020,Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,https://papers.nips.cc/paper_files/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf,Unknown,2025-02-15 09:04:42,"Off-Policy Evaluation and Learning
for External Validity under a Covariate Shift
Masatoshi Uehara1 , Masahiro Kato2 , Shota Yasui2
1Cornell University
mu223@cornell.edu
2CyberAgent Inc.
masahiro_kato@cyberagent.co.jp
yasui_shota@cyberagent.co.jp
Abstract
We consider evaluating and training a new policy for the evaluation data by using
the historical data obtained from a different policy. The goal of off-policy evalua-
tion(OPE) is to estimate the expected reward of a new policy over the evaluation
data, and that of off-policy learning (OPL) is to ﬁnd a new policy that maximizes
the expected reward over the evaluation data. Although the standard OPE and
OPL methods assume the same distribution of covariate between the historical
and evaluation data, a covariate shift often exists in real-world applications, i.e.,
the distribution of the covariate of the historical data is different from that of the
evaluation data. In this paper, we derive the efﬁciency bound of an OPE estimator
under a covariate shift. Then, we propose doubly robust and efﬁcient estimators
for OPE and OPL under a covariate shift by using a nonparametric estimator of
the density ratio between the historical and evaluation data distributions. We also
discuss other possible estimators and compare their theoretical properties. Finally,
we conduct experiments to conﬁrm the effectiveness of the proposed estimators.
1 Introduction
In various applications, such as the design of advertisement, personalized medicine, search engines,
and recommendation systems, there is a signiﬁcant interest in evaluating and learning a new policy
from historical data (Beygelzimer & Langford, 2009; Li et al., 2010; Athey & Wager, 2017). To
accomplish this, we use off-policy evaluation (OPE) and off-policy learning (OPL) methods. The
goal of OPE is to evaluate a new policy by estimating the expected reward of the new policy (Dudík
et al., 2011; Wang et al., 2017; Narita et al., 2019; Bibaut et al., 2019; Kallus & Uehara, 2019; Oberst
& Sontag, 2019). In contrast, OPL aims to ﬁnd a new policy that maximizes the expected reward
(Zhao et al., 2012; Kitagawa & Tetenov, 2018; Zhou et al., 2018; Chernozhukov et al., 2019).
Although the OPE method provides an estimator of the expected reward of a new policy, most ex-
isting studies presume that the distributions of covariates are the same between the historical and
evaluation data. However, in many real-world applications, the expected reward of a new policy
over the distribution of evaluation data is of signiﬁcant interest, which can be different from that
of historical data. For example, in the medical ﬁeld, it is known that the results of a randomized
controlled trial (RCT) cannot be directly transported because the covariate distribution in a target
population is different (Cole & Stuart, 2010). This problem is known as a lack of external validity
(Pearl & Bareinboim, 2014). These situations, in which historical and evaluation data follow differ-
ent distributi"
2020,Neural Methods for Point-wise Dependency Estimation,https://papers.nips.cc/paper_files/paper/2020/file/00a03ec6533ca7f5c644d198d815329c-Paper.pdf,Unknown,2025-02-15 09:04:45,Deep Learning
2020,Fast and Flexible Temporal Point Processes with Triangular Maps,https://papers.nips.cc/paper_files/paper/2020/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,Unknown,2025-02-15 09:04:52,Deep Learning
2020,Backpropagating Linearly Improves Transferability of Adversarial Examples,https://papers.nips.cc/paper_files/paper/2020/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,Unknown,2025-02-15 09:04:55,Computer Vision
2020,PyGlove: Symbolic Programming for Automated Machine Learning,https://papers.nips.cc/paper_files/paper/2020/file/012a91467f210472fab4e11359bbfef6-Paper.pdf,Unknown,2025-02-15 09:05:05,Optimization
2020,Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds,https://papers.nips.cc/paper_files/paper/2020/file/0163cceb20f5ca7b313419c068abd9dc-Paper.pdf,Unknown,2025-02-15 09:05:09,Optimization
2020,Fourier Sparse Leverage Scores and Approximate Kernel Learning,https://papers.nips.cc/paper_files/paper/2020/file/012d9fe15b2493f21902cd55603382ec-Paper.pdf,Unknown,2025-02-15 09:05:13,Optimization
2020,Synbols: Probing Learning Algorithms with Synthetic Datasets,https://papers.nips.cc/paper_files/paper/2020/file/0169cf885f882efd795951253db5cdfb-Paper.pdf,Unknown,2025-02-15 09:05:15,Computer Vision
2020,Adversarially Robust Streaming Algorithms via Differential Privacy,https://papers.nips.cc/paper_files/paper/2020/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf,Unknown,2025-02-15 09:05:19,Optimization
2020,Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering,https://papers.nips.cc/paper_files/paper/2020/file/019fa4fdf1c04cf73ba25aa2223769cd-Paper.pdf,Unknown,2025-02-15 09:05:22,NLP
2020,Cascaded Text Generation with Markov Transformers,https://papers.nips.cc/paper_files/paper/2020/file/01a0683665f38d8e5e567b3b15ca98bf-Paper.pdf,Unknown,2025-02-15 09:05:25,NLP
2020,Improving Local Identifiability in Probabilistic Box Embeddings,https://papers.nips.cc/paper_files/paper/2020/file/01c9d2c5b3ff5cbba349ec39a570b5e3-Paper.pdf,Unknown,2025-02-15 09:05:27,Deep Learning
2020,Permute-and-Flip: A new mechanism for differentially private selection,https://papers.nips.cc/paper_files/paper/2020/file/01e00f2f4bfcbb7505cb641066f2859b-Paper.pdf,Unknown,2025-02-15 09:05:30,Optimization
2020,Reciprocal Adversarial Learning via Characteristic Functions,https://papers.nips.cc/paper_files/paper/2020/file/021f6dd88a11ca489936ae770e4634ad-Paper.pdf,Unknown,2025-02-15 09:05:37,Deep Learning
2020,Statistical Guarantees of Distributed Nearest Neighbor Classification,https://papers.nips.cc/paper_files/paper/2020/file/022e0ee5162c13d9a7bb3bd00fb032ce-Paper.pdf,Unknown,2025-02-15 09:05:41,Optimization
2020,Stein Self-Repulsive Dynamics: Benefits From Past Samples,https://papers.nips.cc/paper_files/paper/2020/file/023d0a5671efd29e80b4deef8262e297-Paper.pdf,Unknown,2025-02-15 09:05:51,"Stein Variational Gradient Descent (SVGD) is a type of approximate sampling method used to draw samples from complex un-normalized distributions. SVGD evolves a pre-defined number of particles (or sample points) in parallel with a special interacting particle system to match the distribution of interest by minimizing the KL divergence. In SVGD, the particles interact with each other to simultaneously move towards the high probability regions following the gradient direction, and also move away from each other due to a special repulsive force. As a result, SVGD allows us to obtain diversified samples that correctly represent the variation of the distribution of interest.

In this paper, the authors propose a new Stein self-repulsive dynamics for obtaining diversified samples from intractable un-normalized distributions. Their idea is to introduce Stein variational gradient as a repulsive force to push the samples of Langevin dynamics away from the past trajectories. This simple idea allows them to significantly decrease the auto-correlation in Langevin dynamics and hence increase the effective sample size. Importantly, as they establish in their theoretical analysis, the asymptotic stationary distribution remains correct even with the addition of the repulsive force, thanks to the special properties of the Stein variational gradient.

Based on the above, I would classify this research paper into the category of ""Optimization"", as it focuses on developing a new algorithm for optimizing the sampling process by reducing autocorrelation and increasing effective sample size."
2020,Deep reconstruction of strange attractors from time series,https://papers.nips.cc/paper_files/paper/2020/file/021bbc7ee20b71134d53e20206bd6feb-Paper.pdf,Unknown,2025-02-15 09:05:56,Optimization
2020,The Statistical Complexity of Early-Stopped Mirror Descent,https://papers.nips.cc/paper_files/paper/2020/file/024d2d699e6c1a82c9ba986386f4d824-Paper.pdf,Unknown,2025-02-15 09:06:00,Optimization
2020,Algorithmic recourse under imperfect causal knowledge: a probabilistic approach,https://papers.nips.cc/paper_files/paper/2020/file/02a3c7fb3f489288ae6942498498db20-Paper.pdf,Unknown,2025-02-15 09:06:05,'Optimization'
2020,Minimax Classification with 0-1 Loss and Performance Guarantees,https://papers.nips.cc/paper_files/paper/2020/file/02f657d55eaf1c4840ce8d66fcdaf90c-Paper.pdf,Unknown,2025-02-15 09:06:09,Optimization
2020,A Causal View on Robustness  of Neural Networks,https://papers.nips.cc/paper_files/paper/2020/file/02ed812220b0705fabb868ddbf17ea20-Paper.pdf,Unknown,2025-02-15 09:06:16,Computer Vision
2020,How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization,https://papers.nips.cc/paper_files/paper/2020/file/03255088ed63354a54e0e5ed957e9008-Paper.pdf,Unknown,2025-02-15 09:06:29,Reinforcement Learning
2020,Quantitative Propagation of Chaos for SGD in Wide Neural Networks,https://papers.nips.cc/paper_files/paper/2020/file/02e74f10e0327ad868d138f2b4fdd6f0-Paper.pdf,Unknown,2025-02-15 09:06:32,Optimization
2020,Coresets for Regressions with Panel Data,https://papers.nips.cc/paper_files/paper/2020/file/03287fcce194dbd958c2ec5b33705912-Paper.pdf,Unknown,2025-02-15 09:06:36,Optimization
2020,Efficient Contextual Bandits with Continuous Actions,https://papers.nips.cc/paper_files/paper/2020/file/033cc385728c51d97360020ed57776f0-Paper.pdf,Unknown,2025-02-15 09:06:41,Reinforcement Learning
2020,Learning Composable Energy Surrogates for PDE Order Reduction,https://papers.nips.cc/paper_files/paper/2020/file/0332d694daab22e0e0eaf7a5e88433f9-Paper.pdf,Unknown,2025-02-15 09:06:44,Deep Learning
2020,Achieving Equalized Odds by Resampling Sensitive Attributes,https://papers.nips.cc/paper_files/paper/2020/file/03593ce517feac573fdaafa6dcedef61-Paper.pdf,Unknown,2025-02-15 09:06:46,Optimization
2020,Hard Shape-Constrained Kernel Machines,https://papers.nips.cc/paper_files/paper/2020/file/03fa2f7502f5f6b9169e67d17cbf51bb-Paper.pdf,Unknown,2025-02-15 09:06:52,Optimization
2020,A Closer Look at the Training Strategy for Modern Meta-Learning,https://papers.nips.cc/paper_files/paper/2020/file/0415740eaa4d9decbc8da001d3fd805f-Paper.pdf,Unknown,2025-02-15 09:06:56,Meta-Learning
